run_id,f,beta,theta_deg,mach_number,seed,bfield_geometry,outcome,fragmented,morphology,lambda_W,lambda_W_err,t_frag_tJ,beading_window_tJ,n_peaks_max,wall_sec,hgbs_match
TAG_f1p0_b0p3_t90_m1p5_s1,1.0,0.3,90,1.5,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.587,,0,460.5,False
TAG_f1p0_b0p3_t90_m1p5_s2,1.0,0.3,90,1.5,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.582,,0,450.5,False
TAG_f1p0_b0p3_t90_m1p5_s3,1.0,0.3,90,1.5,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.55,,0,320.4,False
TAG_f1p0_b0p3_t90_m1p5_s4,1.0,0.3,90,1.5,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5471,,0,190.2,False
TAG_f1p0_b0p3_t90_m1p5_s5,1.0,0.3,90,1.5,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.576,,0,420.5,False
TAG_f1p0_b0p3_t90_m2p0_s1,1.0,0.3,90,2.0,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.59,,0,690.8,False
TAG_f1p0_b0p3_t90_m2p0_s2,1.0,0.3,90,2.0,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5471,,0,220.2,False
TAG_f1p0_b0p3_t90_m2p0_s3,1.0,0.3,90,2.0,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.548,,0,260.3,False
TAG_f1p0_b0p3_t90_m2p0_s4,1.0,0.3,90,2.0,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.582,,0,700.8,False
TAG_f1p0_b0p3_t90_m2p0_s5,1.0,0.3,90,2.0,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.585,,0,680.7,False
TAG_f1p0_b0p3_t90_m2p5_s1,1.0,0.3,90,2.5,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5442,,0,170.2,False
