idx,sim_id,morph,f,beta,mach,p_ext,seed,lw,npk,wall,event,t_event,lw_genuine,collapsed,timed_out
219,RCE_f1.5_b0.5_m2.0_p0.3_s2,FULL,1.5,0.5,2.0,0.3,2,,1,241,DT_COLLAPSE,0.08,,True,False
220,RCE_f1.5_b0.5_m2.0_p0.3_s1,FULL,1.5,0.5,2.0,0.3,1,,1,1082,GRAV_FRAG,0.085,,True,False
221,RCE_f1.5_b0.5_m2.0_p0.1_s3,FULL,1.5,0.5,2.0,0.1,3,,1,1352,GRAV_FRAG,0.085,,True,False
222,RCE_f1.5_b0.5_m2.0_p0.5_s2,FULL,1.5,0.5,2.0,0.5,2,,1,241,DT_COLLAPSE,0.08,,True,False
223,RCE_f1.5_b0.5_m2.0_p0.5_s1,FULL,1.5,0.5,2.0,0.5,1,,1,1082,GRAV_FRAG,0.085,,True,False
224,RCE_f1.5_b0.5_m2.0_p0.3_s3,FULL,1.5,0.5,2.0,0.3,3,,1,1322,GRAV_FRAG,0.085,,True,False
225,RCE_f1.5_b0.5_m3.0_p0.0_s1,FULL,1.5,0.5,3.0,0.0,1,,1,1232,GRAV_FRAG,0.08,,True,False
226,RCE_f1.5_b0.5_m2.0_p0.5_s3,FULL,1.5,0.5,2.0,0.5,3,,1,1382,GRAV_FRAG,0.085,,True,False
227,RCE_f1.5_b0.5_m3.0_p0.0_s2,FULL,1.5,0.5,3.0,0.0,2,,1,1592,GRAV_FRAG,0.08,,True,False
228,RCE_f1.5_b0.5_m3.0_p0.1_s1,FULL,1.5,0.5,3.0,0.1,1,,1,1262,GRAV_FRAG,0.08,,True,False
