idx,sim_id,morph,f,beta,mach,p_ext,seed,lw,npk,wall,event,t_event,lw_genuine,collapsed,timed_out
89,RCE_f1.3_b0.5_m2.0_p0.5_s3,FULL,1.3,0.5,2.0,0.5,3,,1,1382,GRAV_FRAG,0.085,,True,False
90,RCE_f1.3_b0.5_m3.0_p0.5_s1,FULL,1.3,0.5,3.0,0.5,1,,1,271,DT_COLLAPSE,0.075,,True,False
91,RCE_f1.3_b0.5_m3.0_p0.3_s3,FULL,1.3,0.5,3.0,0.3,3,,1,391,DT_COLLAPSE,0.075,,True,False
92,RCE_f1.3_b0.5_m3.0_p0.5_s2,FULL,1.3,0.5,3.0,0.5,2,,1,331,DT_COLLAPSE,0.075,,True,False
93,RCE_f1.3_b0.5_m3.0_p0.5_s3,FULL,1.3,0.5,3.0,0.5,3,,1,361,DT_COLLAPSE,0.075,,True,False
94,RCE_f1.3_b1.0_m2.0_p0.0_s1,FULL,1.3,1.0,2.0,0.0,1,,1,1472,GRAV_FRAG,0.085,,True,False
95,RCE_f1.3_b1.0_m2.0_p0.1_s1,FULL,1.3,1.0,2.0,0.1,1,,1,1472,GRAV_FRAG,0.085,,True,False
96,RCE_f1.3_b1.0_m2.0_p0.0_s2,FULL,1.3,1.0,2.0,0.0,2,,1,1652,GRAV_FRAG,0.085,,True,False
97,RCE_f1.3_b1.0_m2.0_p0.0_s3,FULL,1.3,1.0,2.0,0.0,3,,1,1712,GRAV_FRAG,0.085,,True,False
98,RCE_f1.2_b2.0_m3.0_p0.5_s1,TIMEOUT,1.2,2.0,3.0,0.5,1,,1,7206,TIMEOUT,,,False,True
99,RCE_f1.2_b2.0_m3.0_p0.5_s2,TIMEOUT,1.2,2.0,3.0,0.5,2,,1,7206,TIMEOUT,,,False,True
100,RCE_f1.3_b1.0_m2.0_p0.1_s2,FULL,1.3,1.0,2.0,0.1,2,,1,1622,GRAV_FRAG,0.085,,True,False
101,RCE_f1.2_b2.0_m3.0_p0.5_s3,TIMEOUT,1.2,2.0,3.0,0.5,3,,1,7206,TIMEOUT,,,False,True
102,RCE_f1.3_b1.0_m2.0_p0.3_s1,FULL,1.3,1.0,2.0,0.3,1,,1,1472,GRAV_FRAG,0.085,,True,False
103,RCE_f1.3_b1.0_m2.0_p0.1_s3,FULL,1.3,1.0,2.0,0.1,3,,1,1712,GRAV_FRAG,0.085,,True,False
104,RCE_f1.3_b1.0_m2.0_p0.3_s2,FULL,1.3,1.0,2.0,0.3,2,,1,1682,GRAV_FRAG,0.085,,True,False
105,RCE_f1.3_b1.0_m3.0_p0.0_s2,FULL,1.3,1.0,3.0,0.0,2,,1,241,DT_COLLAPSE,0.075,,True,False
106,RCE_f1.3_b1.0_m2.0_p0.5_s1,FULL,1.3,1.0,2.0,0.5,1,,1,1472,GRAV_FRAG,0.085,,True,False
107,RCE_f1.3_b1.0_m2.0_p0.3_s3,FULL,1.3,1.0,2.0,0.3,3,,1,1742,GRAV_FRAG,0.085,,True,False
108,RCE_f1.3_b1.0_m3.0_p0.1_s2,FULL,1.3,1.0,3.0,0.1,2,,1,241,DT_COLLAPSE,0.075,,True,False
109,RCE_f1.3_b1.0_m2.0_p0.5_s2,FULL,1.3,1.0,2.0,0.5,2,,1,1682,GRAV_FRAG,0.085,,True,False
110,RCE_f1.3_b1.0_m2.0_p0.5_s3,FULL,1.3,1.0,2.0,0.5,3,,1,1712,GRAV_FRAG,0.085,,True,False
111,RCE_f1.3_b1.0_m3.0_p0.0_s1,FULL,1.3,1.0,3.0,0.0,1,,1,1742,GRAV_FRAG,0.08,,True,False
112,RCE_f1.3_b1.0_m3.0_p0.3_s2,FULL,1.3,1.0,3.0,0.3,2,,1,241,DT_COLLAPSE,0.075,,True,False
113,RCE_f1.3_b1.0_m3.0_p0.5_s2,FULL,1.3,1.0,3.0,0.5,2,,1,241,DT_COLLAPSE,0.075,,True,False
114,RCE_f1.3_b1.0_m3.0_p0.1_s1,FULL,1.3,1.0,3.0,0.1,1,,1,1712,GRAV_FRAG,0.08,,True,False
115,RCE_f1.3_b1.0_m3.0_p0.0_s3,FULL,1.3,1.0,3.0,0.0,3,,1,2343,GRAV_FRAG,0.08,,True,False
116,RCE_f1.3_b1.0_m3.0_p0.3_s1,FULL,1.3,1.0,3.0,0.3,1,,1,1743,GRAV_FRAG,0.08,,True,False
