sim_id,campaign,f,beta,mach,gamma,theta,seed,approach,morphology_ref,runtime_s,returncode,term_reason,morphology,fragmented,lW,lW_method,hgbs_match,t_frag,grav_ratio,n_snaps,n_athdf_kept,n_athdf_purged,error
DTC_f1.0_b0.5_M1_s0,P3,1.0,0.5,1.0,1.0,90,0,,,123.1,1,EARLY_FRAG@t=0.380,PARTIAL,True,,,False,0.2609,305.64,77,0,1,
DTC_f0.4_b0.5_M1_s1,P3,0.4,0.5,1.0,1.0,90,1,,,123.1,1,EARLY_FRAG@t=0.440,RADIAL_COLLAPSE,False,,,False,,2355.73,89,0,1,
DTC_f0.8_b0.5_M1_s0,P3,0.8,0.5,1.0,1.0,90,0,,,123.1,1,EARLY_FRAG@t=0.400,RADIAL_COLLAPSE,False,,,False,,559.83,82,0,1,
DTC_f1.0_b0.5_M1_s1,P3,1.0,0.5,1.0,1.0,90,1,,,123.1,1,EARLY_FRAG@t=0.385,PARTIAL,True,,,False,0.2601,315.4,78,0,1,
DTC_f0.4_b0.3_M2_s0,P3,0.4,0.3,2.0,1.0,90,0,,,123.1,1,EARLY_FRAG@t=0.340,RADIAL_COLLAPSE,False,,,False,,2444.66,69,0,1,
DTC_f0.4_b0.3_M2_s1,P3,0.4,0.3,2.0,1.0,90,1,,,123.1,1,EARLY_FRAG@t=0.330,RADIAL_COLLAPSE,False,,,False,,2163.08,67,0,1,
DTC_f0.6_b0.3_M2_s0,P3,0.6,0.3,2.0,1.0,90,0,,,123.1,1,EARLY_FRAG@t=0.325,RADIAL_COLLAPSE,False,,,False,,1072.43,67,0,1,
DTC_f0.6_b0.3_M2_s1,P3,0.6,0.3,2.0,1.0,90,1,,,123.1,1,EARLY_FRAG@t=0.330,RADIAL_COLLAPSE,False,,,False,,1076.62,67,0,1,
DTC_f1.2_b0.5_M1_s1,P3,1.2,0.5,1.0,1.0,90,1,,,663.7,1,EARLY_FRAG@t=0.385,PARTIAL,True,,,False,0.2756,300.6,78,0,1,
DTC_f0.8_b0.3_M2_s0,P3,0.8,0.3,2.0,1.0,90,0,,,123.1,1,EARLY_FRAG@t=0.330,RADIAL_COLLAPSE,False,,,False,,689.71,67,0,1,
DTC_f1.2_b0.5_M1_s0,P3,1.2,0.5,1.0,1.0,90,0,,,783.8,1,EARLY_FRAG@t=0.380,PARTIAL,True,,,False,0.2755,310.15,77,0,1,
DTC_f0.8_b0.3_M2_s1,P3,0.8,0.3,2.0,1.0,90,1,,,123.1,1,EARLY_FRAG@t=0.330,RADIAL_COLLAPSE,False,,,False,,730.95,68,0,1,
DTC_f1.4_b0.5_M1_s0,P3,1.4,0.5,1.0,1.0,90,0,,,843.8,1,EARLY_FRAG@t=0.380,PARTIAL,True,,,False,0.2854,313.38,77,0,1,
DTC_f1.0_b0.3_M2_s0,P3,1.0,0.3,2.0,1.0,90,0,,,123.1,1,EARLY_FRAG@t=0.325,PARTIAL,True,,,False,0.1756,485.81,66,0,1,
DTC_f1.0_b0.3_M2_s1,P3,1.0,0.3,2.0,1.0,90,1,,,123.1,1,EARLY_FRAG@t=0.325,PARTIAL,True,,,False,0.176,463.15,66,0,1,
DTC_f1.2_b0.3_M2_s0,P3,1.2,0.3,2.0,1.0,90,0,,,123.1,1,EARLY_FRAG@t=0.310,PARTIAL,True,,,False,0.1955,338.46,64,0,1,
DTC_f1.2_b0.3_M2_s1,P3,1.2,0.3,2.0,1.0,90,1,,,123.1,1,EARLY_FRAG@t=0.320,PARTIAL,True,,,False,0.1956,347.62,65,0,1,
DTC_f1.4_b0.3_M2_s0,P3,1.4,0.3,2.0,1.0,90,0,,,183.2,1,EARLY_FRAG@t=0.315,PARTIAL,True,,,False,0.2058,315.96,64,0,1,
DTC_f1.4_b0.3_M2_s1,P3,1.4,0.3,2.0,1.0,90,1,,,183.2,1,EARLY_FRAG@t=0.325,PARTIAL,True,,,False,0.2057,342.99,66,0,1,
DTC_CTRL_f0.4_b0.3_M1_s0,P3,0.4,0.3,1.0,1.0,90,0,,,123.1,1,EARLY_FRAG@t=0.425,RADIAL_COLLAPSE,False,,,False,,1994.96,87,0,1,
DTC_CTRL_f0.4_b0.3_M1_s1,P3,0.4,0.3,1.0,1.0,90,1,,,123.1,1,EARLY_FRAG@t=0.425,RADIAL_COLLAPSE,False,,,False,,1876.32,86,0,1,
DTC_f1.4_b0.5_M1_s1,P3,1.4,0.5,1.0,1.0,90,1,,,1264.3,1,EARLY_FRAG@t=0.385,PARTIAL,True,,,False,0.2853,307.3,78,0,1,
