sim_id,campaign,f,beta,mach,gamma,theta,seed,approach,morphology_ref,runtime_s,returncode,term_reason,morphology,fragmented,lW,lW_method,hgbs_match,t_frag,grav_ratio,n_snaps,n_athdf_kept,n_athdf_purged,error
HGBS_f1.0_b2.0_M3.0_s24,P1,1.0,2.0,3.0,1.0,0,24,,,123.1,1,EARLY_FRAG@t=0.280,FULL,True,13.0729,hdf5,False,0.1303,734.09,57,6,0,
HGBS_f1.0_b2.0_M3.0_s30,P1,1.0,2.0,3.0,1.0,0,30,,,123.1,1,EARLY_FRAG@t=0.300,FULL,True,1.5625,hdf5,False,0.1307,787.91,61,7,0,
HGBS_f1.0_b2.0_M3.0_s0,P1,1.0,2.0,3.0,1.0,0,0,,,123.1,1,EARLY_FRAG@t=0.280,FULL,True,1.1458,hdf5,False,0.1303,707.55,57,6,0,
HGBS_f1.0_b2.0_M2.5_s6,P1,1.0,2.0,2.5,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.310,FULL,True,1.5365,hdf5,False,0.1505,737.58,130,17,0,
HGBS_f1.0_b2.0_M2.5_s12,P1,1.0,2.0,2.5,1.0,0,12,,,123.1,1,EARLY_FRAG@t=0.295,FULL,True,9.6354,hdf5,False,0.1508,641.04,123,16,0,
HGBS_f1.0_b2.0_M2.5_s18,P1,1.0,2.0,2.5,1.0,0,18,,,123.1,1,EARLY_FRAG@t=0.320,FULL,True,3.8021,hdf5,False,0.1507,908.52,131,17,0,
HGBS_f1.0_b2.0_M2.5_s24,P1,1.0,2.0,2.5,1.0,0,24,,,123.1,1,EARLY_FRAG@t=0.310,FULL,True,8.8021,hdf5,False,0.15,952.14,127,16,0,
HGBS_f1.0_b2.0_M2.5_s30,P1,1.0,2.0,2.5,1.0,0,30,,,123.1,1,EARLY_FRAG@t=0.345,FULL,True,1.5104,hdf5,False,0.1505,1213.94,142,18,0,
HGBS_f1.0_b2.0_M2.5_s0,P1,1.0,2.0,2.5,1.0,0,0,,,123.1,1,EARLY_FRAG@t=0.305,FULL,True,7.2656,hdf5,False,0.15,804.72,62,7,0,
EOS_g0.7_b2.0_t0_s0,P2,1.1,2.0,1.0,0.7,0,0,,,123.1,1,EARLY_FRAG@t=0.400,FULL,True,,,False,0.2565,475.8,81,0,1,
EOS_g0.8_b2.0_t0_s0,P2,1.1,2.0,1.0,0.8,0,0,,,123.1,1,EARLY_FRAG@t=0.385,FULL,True,,,False,0.2613,406.15,79,0,1,
EOS_g0.8_b2.0_t0_s1,P2,1.1,2.0,1.0,0.8,0,1,,,123.1,1,EARLY_FRAG@t=0.410,FULL,True,,,False,0.26,513.55,83,0,1,
EOS_g0.7_b2.0_t0_s2,P2,1.1,2.0,1.0,0.7,0,2,,,123.1,1,EARLY_FRAG@t=0.400,FULL,True,,,False,0.2565,600.3,81,0,1,
EOS_g0.7_b2.0_t0_s1,P2,1.1,2.0,1.0,0.7,0,1,,,123.1,1,EARLY_FRAG@t=0.425,FULL,True,,,False,0.2552,751.37,87,0,1,
EOS_g0.8_b2.0_t0_s2,P2,1.1,2.0,1.0,0.8,0,2,,,123.1,1,EARLY_FRAG@t=0.385,FULL,True,,,False,0.2612,427.31,78,0,1,
EOS_g0.9_b2.0_t0_s0,P2,1.1,2.0,1.0,0.9,0,0,,,123.1,1,EARLY_FRAG@t=0.375,FULL,True,,,False,0.2657,309.32,76,0,1,
