run_id,tag,f,beta,mturb,theta,seed,status,runtime_s,lW,lW_status,t_frag,morphology,tau_peak_max,tau_peak_mean,survives_0p1,n_peaks_final,n_peak_events,peak_analysis_status,n_athdf_purged,returncode
RTC_NC_f1p2_b0p3_m3p0_t0_s2,NC,1.2,0.3,3.0,0,2,failed,2517.205248594284,,no_athdf,0.276001,RADIAL_COLLAPSE,0.19932258874177933,0.08129717409610748,True,4,6,ok,28,-2
RTC_NC_f1p2_b0p3_m3p0_t0_s5,NC,1.2,0.3,3.0,0,5,failed,165.79594564437866,,no_athdf,0.277042,RADIAL_COLLAPSE,0.19964978098869324,0.10979861915111541,True,4,5,ok,28,-2
RTC_NC_f1p2_b0p3_m3p0_t0_s4,NC,1.2,0.3,3.0,0,4,failed,859.1039774417877,,no_athdf,0.302,RADIAL_COLLAPSE,0.219389446079731,0.12752990871667863,True,3,5,ok,31,-2
RTC_NC_f1p2_b0p3_m3p0_t0_s1,NC,1.2,0.3,3.0,0,1,failed,3903.6256098747253,,no_athdf,0.325,RADIAL_COLLAPSE,0.21955491602420807,0.0871097764798573,True,4,7,ok,33,-2
RTC_NC_f1p0_b2p0_m3p0_t0_s6,NC,1.0,2.0,3.0,0,6,failed,5214.983136892319,,no_athdf,0.31,RADIAL_COLLAPSE,0.2096642404794693,0.1620817556977272,True,4,4,ok,32,-2
RTC_NC_f1p2_b0p5_m3p0_t0_s1,NC,1.2,0.5,3.0,0,1,failed,994.6550304889679,,no_athdf,0.322015,RADIAL_COLLAPSE,0.2192971631884575,0.08676291470016752,True,4,7,ok,33,-2
RTC_NC_f1p0_b2p0_m3p0_t0_s3,NC,1.0,2.0,3.0,0,3,failed,7204.87234711647,6.458333333333334,ok:4_peaks,0.3300011157989502,FULL,0.25989980250597,0.1380861463646094,True,4,6,ok,34,-9
RTC_NC_f1p2_b0p3_m3p0_t0_s6,NC,1.2,0.3,3.0,0,6,failed,1582.5618860721588,,no_athdf,0.308004,RADIAL_COLLAPSE,0.1996029019355774,0.1519202459603548,True,4,4,ok,31,-2
RTC_NC_f1p2_b0p5_m3p0_t0_s3,NC,1.2,0.5,3.0,0,3,failed,2396.663074016571,,no_athdf,0.296,RADIAL_COLLAPSE,0.21924642473459244,0.13557996451854706,True,4,5,ok,30,-2
RTC_NC_f1p2_b0p5_m3p0_t0_s2,NC,1.2,0.5,3.0,0,2,failed,2788.0445890426636,,no_athdf,0.288,RADIAL_COLLAPSE,0.20997254550457,0.08807533482710521,True,5,6,ok,29,-2
